"bank Name","Email","Account Charges","Discount Percentage","ERROR"
"Dynava","enormanville0@shutterfly.com","90","39","phone no contain 10 digit"
"Mita","bfearnall1@msu.edu","100","14","phone no contain 10 digit"
"Mydo","jgonnin2@ocn.ne.jp","66","10","phone no contain 10 digit"
"Thoughtbridge","jbrugman3@china.com.cn","88","38","phone no contain 10 digit"
"Kimia","astachini4@domainmarket.com","89","38","phone no contain 10 digit"
"Lazz","eondracek5@bluehost.com","51","27","phone no contain 10 digit"
"Vinte","uvern6@adobe.com","67","21","phone no contain 10 digit"
"Eayo","gginsie7@forbes.com","33","44","phone no contain 10 digit"
"Innojam","rdunguy8@nsw.gov.au","9","3","phone no contain 10 digit"
"Dabfeed","gacum9@yahoo.co.jp","71","18","phone no contain 10 digit"
"Voonte","atolmiea@ask.com","41","21","phone no contain 10 digit"
"Buzzbean","tdarrachb@ycombinator.com","56","38","phone no contain 10 digit"
"Viva","lcotterillc@ocn.ne.jp","97","15","phone no contain 10 digit"
"Flashdog","cirvind@ask.com","52","48","phone no contain 10 digit"
"Browsecat","dvermane@slideshare.net","86","10","phone no contain 10 digit"
"Buzzshare","ashearmurf@businesswire.com","42","11","phone no contain 10 digit"
"Bubblebox","stackleg@mtv.com","76","44","phone no contain 10 digit"
"Vidoo","cedginh@smugmug.com","92","20","phone no contain 10 digit"
"Skyble","acaghani@ft.com","12","33","phone no contain 10 digit"
"Twitterbeat","bsoffej@mtv.com","46","44","phone no contain 10 digit"
"Innotype","lruncimank@zimbio.com","41","16","phone no contain 10 digit"
"Reallinks","myemml@xinhuanet.com","44","47","phone no contain 10 digit"
"Topicware","aswatonm@altervista.org","14","38","phone no contain 10 digit"
"Twitterbeat","rascraftn@addthis.com","58","48","phone no contain 10 digit"
"Jabberstorm","bseabrighto@plala.or.jp","6","46","phone no contain 10 digit"
"Topiczoom","lmcmasterp@jiathis.com","42","50","phone no contain 10 digit"
"Tekfly","hfilppettiq@google.ru","84","2","phone no contain 10 digit"
"Quinu","hpiochr@nydailynews.com","50","8","phone no contain 10 digit"
"Realbuzz","gmaccomes@noaa.gov","25","30","phone no contain 10 digit"
"Bubblebox","wrootest@techcrunch.com","74","26","phone no contain 10 digit"
"Tazz","hdavidoffu@biblegateway.com","6","46","phone no contain 10 digit"
"Quimm","clemerlev@so-net.ne.jp","78","28","phone no contain 10 digit"
"Feedmix","spluesw@unicef.org","80","22","phone no contain 10 digit"
"Centimia","akondratenyax@japanpost.jp","85","5","phone no contain 10 digit"
"Youtags","arosenbaumy@china.com.cn","82","14","phone no contain 10 digit"
"Gabcube","cfinlasonz@webnode.com","1","40","phone no contain 10 digit"
"Twimbo","ftitcom10@berkeley.edu","24","48","phone no contain 10 digit"
"Blogpad","ccarolan11@soup.io","78","8","phone no contain 10 digit"
"Voonix","mbasso12@bing.com","38","43","phone no contain 10 digit"
"Quatz","pweddeburn13@ifeng.com","33","9","phone no contain 10 digit"
"Skipstorm","gdockerty14@amazon.co.uk","50","6","phone no contain 10 digit"
"Quimba","stutin15@google.com.br","32","11","phone no contain 10 digit"
"Fivechat","amalkie16@homestead.com","96","36","phone no contain 10 digit"
"Cogilith","aculmer17@mapy.cz","70","27","phone no contain 10 digit"
"Skinder","hiremonger18@state.gov","17","4","phone no contain 10 digit"
"Katz","dhoult19@amazon.de","4","9","phone no contain 10 digit"
"Agimba","aovendale1a@smugmug.com","90","50","phone no contain 10 digit"
"Wordify","jwassell1b@naver.com","20","15","phone no contain 10 digit"
"Janyx","mguymer1c@w3.org","79","14","phone no contain 10 digit"
"Brainlounge","ikilpin1d@macromedia.com","30","38","phone no contain 10 digit"
"Gabtune","apasmore1e@gov.uk","6","1","phone no contain 10 digit"
"Katz","scorain1f@de.vu","47","38","phone no contain 10 digit"
"Jazzy","ffranscioni1g@comcast.net","35","28","phone no contain 10 digit"
"Edgeclub","mfirebrace1h@discovery.com","61","46","phone no contain 10 digit"
"Skimia","rpadbury1i@china.com.cn","13","41","phone no contain 10 digit"
"Mynte","ftonkin1j@flickr.com","35","49","phone no contain 10 digit"
"Gigashots","csalkild1k@youtube.com","10","13","phone no contain 10 digit"
"Einti","wdillingham1l@ibm.com","76","38","phone no contain 10 digit"
"Roomm","ggetty1m@quantcast.com","24","44","phone no contain 10 digit"
"Fiveclub","lbernardi1n@tamu.edu","7","47","phone no contain 10 digit"
"Tagchat","lwitherbed1o@wordpress.org","7","39","phone no contain 10 digit"
"Flashspan","sfairhall1p@google.com","52","18","phone no contain 10 digit"
"Thoughtmix","balasdair1q@apache.org","8","11","phone no contain 10 digit"
"Jabbercube","ccanada1r@deviantart.com","26","35","phone no contain 10 digit"
"Jaloo","bharback1s@tamu.edu","21","48","phone no contain 10 digit"
"Fanoodle","lbygreaves1t@parallels.com","60","9","phone no contain 10 digit"
"Brightdog","utupie1u@google.cn","59","23","phone no contain 10 digit"
"Dynazzy","hfearns1v@bbc.co.uk","81","2","phone no contain 10 digit"
"Minyx","gstringer1w@w3.org","19","18","phone no contain 10 digit"
"Blognation","amaggorini1x@networksolutions.com","15","48","phone no contain 10 digit"
"Omba","kbotterell1y@slideshare.net","32","46","phone no contain 10 digit"
"Skidoo","kcourtman1z@nasa.gov","20","48","phone no contain 10 digit"
"Dabfeed","aeton20@yahoo.com","68","46","phone no contain 10 digit"
"Browseblab","pwoollacott21@apple.com","94","23","phone no contain 10 digit"
"Tekfly","skohlerman22@ocn.ne.jp","29","43","phone no contain 10 digit"
"Realbuzz","mmatzen23@domainmarket.com","54","7","phone no contain 10 digit"
"Linkbridge","sfearnley24@mysql.com","100","27","phone no contain 10 digit"
"Muxo","dhartmann25@ebay.com","75","19","phone no contain 10 digit"
"Demizz","sweeden26@odnoklassniki.ru","43","38","phone no contain 10 digit"
"Zooveo","uboot27@skyrock.com","86","39","phone no contain 10 digit"
"Einti","gwhitrod28@jigsy.com","81","22","phone no contain 10 digit"
"Mydeo","eginity29@tripod.com","35","10","phone no contain 10 digit"
"Tagtune","kosanne2a@clickbank.net","81","36","phone no contain 10 digit"
